FMS,member,region,district,cluster,community,Residency,geopoint_longitude,geopoint_latitude
Jubbaland,NRC,Lower_Juba,Afmadow,NRC_1,Hagar_Daba_Taag,Rural,41.24894,0.80165
Jubbaland,NRC,Lower_Juba,Afmadow,NRC_1,Tula_Barwaqo,Rural,41.24846,0.71628
Jubbaland,NRC,Lower_Juba,Afmadow,NRC_1,Degelema,Rural,41.24794,0.5121
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Njoni,Rural,42.35853,-0.43724
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Qandal,Rural,42.31365,-0.46428
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Fuma2,Rural,42.25955,-0.53519
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Dalsan,Rural,42.25573,-0.36211
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Fuma1,Rural,42.24986,-0.54938
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Koyaama,Rural,42.23133,-0.60267
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Jiroole,Rural,42.1783,-0.63693
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Haadweyn,Rural,42.17028,-0.39337
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_2,Yaq_Bashir,Rural,42.04063,-0.44115
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_3,Qamqam,Rural,42.46697,-0.21603
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_3,Bula_Guduud,Rural,42.43724,-0.08881
Jubbaland,NRC,Lower_Juba,Kismayo,NRC_3,Yontoy,Rural,42.42788,-0.12698
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Celdheer,Rural,46.36235,5.41728
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Ceel_dhere,Rural,46.19057,5.36893
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Bilan,Rural,46.17193,5.33335
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Dabare,Rural,46.12587,5.12681
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,El_baraf,Rural,46.1235,5.27349
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Salaxdhadhaab,Rural,46.09641,5.3071
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Laanle,Rural,46.07513,5.39439
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_4,Shalaqbeen,Rural,45.93118,5.22864
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_5,Afweyne_Banan,Rural,46.5498,5.65767
Galmudug,NRC,Galgaduud,Dhusamareeb,NRC_5,Marergur,Rural,46.51013,5.74997
Southwest,NRC,Bay,Baidoa,NRC_6,Isha,Urban,43.65362,3.1119
Southwest,NRC,Bay,Baidoa,NRC_6,Salamey,Urban,43.64713,3.12052
Southwest,NRC,Bay,Baidoa,NRC_6,Bonkai,Urban,43.63314,3.15353
