variable,district,From,Up to ,status
Goat,Wanla_Weyn-CONCERN,31,45,Alert
Goat,Adado-IRC,61,75,Alarm
Goat,Afgoye-CONCERN,81,90,Alarm
Goat,Afmadow-NRC,81,90,Alarm
Goat,Baardhere-CONCERN,46,60,Alarm
Goat,Baidoa-GREDO,72,80,Alarm
Goat,Baidoa-NRC,71,78,Alarm
Goat,Belet_Hawa-CONCERN,66,80,Alarm
Goat,Belet_weyne-SCI,66,80,Alarm
Goat,El-berde-ACF,41,70,Alarm
Goat,Dhusamareeb-NRC,59,65,Alarm
Goat,Diinsoor-GREDO,58,70,Alarm
Goat,Galdogob-IRC,71,80,Alarm
Goat,Galkacyo-KAALO,71,80,Alarm
Goat,Galkacyo-IRC,76,80,Alarm
Goat,Hudur-ACF,70,75,Alarm
Goat,Jariiban-KAALO,66,80,Alarm
Goat,Jawhar-SCI,78,89,Alarm
Goat,Kismayo-NRC,96,130,Alarm
Goat,Rab_dhure-ACF,50,60,Alarm
Goat,Waajid-ACF,70,80,Alarm
Goat,Wanla_Weyn-CONCERN,46,60,Alarm
labour,Adado-IRC,25,19.5,Normal
labour,Afgoye-CONCERN,8,6.5,Normal
labour,Afmadow-NRC,7,5.5,Normal
labour,Baardhere-CONCERN,8.5,7.5,Normal
labour,Baidoa-GREDO,15,10.5,Normal
labour,Baidoa-NRC,10,5.5,Normal
labour,Belet_Hawa-CONCERN,8.5,7.4,Normal
labour,Belet_weyne-SCI,10.7,10,Normal
labour,El-berde-ACF,7,5.5,Normal
labour,Dhusamareeb-NRC,20,14.5,Normal
labour,Diinsoor-GREDO,20,14.5,Normal
labour,Galdogob-IRC,30,15.5,Normal
labour,Galkacyo-KAALO,10,7.5,Normal
labour,Galkacyo-IRC,30,14.5,Normal
labour,Hudur-ACF,7,6.1,Normal
labour,Jariiban-KAALO,7,6.5,Normal
labour,Jawhar-SCI,9,9.5,Normal
labour,Kismayo-NRC,15,10.5,Normal
labour,Rab_dhure-ACF,8,5.95,Normal
labour,Waajid-ACF,7.5,5.55,Normal
labour,Wanla_Weyn-CONCERN,8,6.5,Normal
labour,Adado-IRC,19,9.5,Alert
labour,Afgoye-CONCERN,6,4.5,Alert
labour,Afmadow-NRC,5,4.5,Alert
labour,Baardhere-CONCERN,7,6.5,Alert
labour,Baidoa-GREDO,10,7.5,Alert
labour,Baidoa-NRC,5,3.5,Alert
labour,Belet_Hawa-CONCERN,7.3,7,Alert
labour,Belet_weyne-SCI,9.5,9,Alert
